model,split,n_train,n_test,best_epoch,best_spearman,best_train_loss,best_test_loss,best_train_mae,best_test_mae
Fused CNN,one_vs_rest,28,8705,7,0.4332643118072559,1.2374659946986608,1.5347134891766916,0.758467972278595,0.8863613605499268
Fused CNN,two_vs_rest,424,8309,146,0.7816489144746183,0.06187380541045711,0.9590822578638609,0.17411914467811584,0.6258435249328613
Fused CNN,three_vs_rest,2990,5743,86,0.8753896005430286,0.08104882670884149,0.4108714416387001,0.21148647367954254,0.41970252990722656
