epoch,train_loss,train_eval_loss,test_loss,train_spearman,test_spearman,train_mae,test_mae
1,3.3247573375701904,0.9670072283063617,1.4720374667048797,0.17022441160372195,0.30907024640447744,0.6777177453041077,0.9241397976875305
2,0.950294017791748,3.296649932861328,4.572118086324623,0.2917350848385331,0.31093373122811796,1.682549238204956,1.9673362970352173
3,3.9775233268737793,0.9353188787187848,1.9651910935510923,0.6064586754241927,0.3388895557638889,0.8418532013893127,1.227368712425232
4,1.09987211227417,1.1221162932259696,1.4979172362670483,0.7077175697865353,0.39779704970608676,0.713441789150238,0.8990137577056885
5,1.0250874757766724,1.6193338121686662,1.6840883916681488,0.6852764094143404,0.40202731810080544,0.9267668128013611,0.8959205746650696
6,1.542394995689392,1.5764398574829102,1.6684584781638785,0.705528188286809,0.43030487645121385,0.9070876836776733,0.8928537368774414
7,1.541765570640564,1.2374659946986608,1.5347134891766916,0.7203065134099617,0.4332643118072559,0.758467972278595,0.8863613605499268
8,1.2564791440963745,0.8877647263663155,1.456262449900492,0.7274220032840722,0.4232834447605751,0.6616023182868958,0.9312139749526978
9,0.8130742907524109,0.76374694279262,1.593426154058326,0.7033388067870826,0.4145997843301617,0.6811456084251404,1.0567121505737305
10,0.8350597023963928,0.8791669436863491,1.8709990671487597,0.7197591680350302,0.4097285668678828,0.8067499399185181,1.191636323928833
11,0.9812510013580322,0.906681878226144,1.9424280141428378,0.7224958949096879,0.41024139034331747,0.8324766159057617,1.2211345434188843
12,1.0291857719421387,0.7939462661743164,1.7850383999839314,0.705528188286809,0.4046060579804502,0.7460667490959167,1.1543413400650024
13,0.9368138313293457,0.7087888717651367,1.5952472952711794,0.6743295019157088,0.38908724013959844,0.6496962308883667,1.05900239944458
14,0.7400255799293518,0.7266767365591866,1.4857381101451612,0.6628352490421456,0.3652118941321716,0.6253337264060974,0.9819243550300598
15,0.7225565314292908,0.7924220221383231,1.4531141140760875,0.6633825944170771,0.346063468358522,0.633240282535553,0.9410665035247803
16,0.748055100440979,0.8371387209211077,1.4486363449978596,0.6633825944170771,0.3307576769178422,0.6393347978591919,0.9244099259376526
17,0.78495854139328,0.8190584863935199,1.4471900523496317,0.6644772851669404,0.32468190594103097,0.634885847568512,0.9263110756874084
18,0.8448432683944702,0.7540862219674247,1.4507324044420964,0.6710454296661192,0.32348818875300667,0.6219730973243713,0.9438483715057373
19,0.6933333277702332,0.6799987384251186,1.4773609846779014,0.6699507389162561,0.32467177823635207,0.6074501872062683,0.9788662195205688
20,0.6629625558853149,0.6383033479963031,1.5302175415582455,0.6699507389162561,0.3258709399482962,0.5955631136894226,1.0214647054672241
21,0.6027555465698242,0.6268271718706403,1.5951671825476859,0.6699507389162561,0.32579009295499406,0.6103834509849548,1.062234878540039
22,0.6470926403999329,0.622844900403704,1.62967762098033,0.6699507389162561,0.3214459897017072,0.620970606803894,1.0814628601074219
23,0.6135250329971313,0.6127353395734515,1.6344031521809779,0.6699507389162561,0.3144351533328285,0.6173156499862671,1.0842196941375732
24,0.7053188681602478,0.5918130874633789,1.5915518396685413,0.6694033935413245,0.3039569222994885,0.5942426323890686,1.0611927509307861
25,0.6665153503417969,0.578669820513044,1.5455177611143407,0.6694033935413245,0.29250500450502764,0.5781598687171936,1.0339484214782715
26,0.5961230397224426,0.5773686000279018,1.5025075934934315,0.6704980842911876,0.28042769799819306,0.5687874555587769,1.0051997900009155
27,0.5728887319564819,0.5836655752999442,1.4743685399164488,0.6704980842911876,0.26977654264737067,0.5648828744888306,0.9831777811050415
28,0.5963181257247925,0.5894213403974261,1.458824804909677,0.6704980842911876,0.26067662976119477,0.562865674495697,0.9690715074539185
29,0.5596151351928711,0.5838682310921806,1.4541956492637096,0.6694033935413245,0.2536978696299457,0.5582197904586792,0.9647441506385803
30,0.561529815196991,0.5652330602918353,1.4578403071929915,0.6704980842911876,0.24938162478267956,0.5497703552246094,0.9690685868263245
31,0.4978010952472687,0.534247875213623,1.4733260122405463,0.6748768472906403,0.24760133188146624,0.5410556197166443,0.98372882604599
32,0.5508687496185303,0.5077598435538155,1.4924972091578397,0.6759715380405036,0.2459151869161287,0.5385410785675049,0.9991265535354614
