model,split,n_train,n_test,best_epoch,best_spearman,best_train_loss,best_test_loss,best_train_mae,best_test_mae
Fused Attention,one_vs_rest,28,8705,1,0.47090032330842796,1.0191196032932825,1.482761013158637,0.6822249293327332,0.9432274699211121
Fused Attention,two_vs_rest,424,8309,75,0.7027540382130045,0.12331685451966412,1.016864923065586,0.2527461051940918,0.689420759677887
Fused Attention,three_vs_rest,2990,5743,39,0.8702159346884845,0.14539468599402386,0.5512265180972692,0.2722923159599304,0.4762333929538727
