epoch,train_loss,train_eval_loss,test_loss,train_spearman,test_spearman,train_mae,test_mae
1,3.253976583480835,1.0191196032932825,1.482761013158637,0.3864258347016967,0.47090032330842796,0.6822249293327332,0.9432274699211121
2,1.123144268989563,0.8054007121494838,1.7828478884655878,0.4258347016967706,0.44419591582984486,0.6993829607963562,1.1429723501205444
3,0.9371419548988342,0.8971027646745954,2.1561643768904335,0.5210727969348659,0.3567504591298681,0.7997827529907227,1.2930032014846802
4,0.8518882989883423,0.9183368001665387,2.223826121955271,0.5451559934318555,0.24558248550756007,0.818996787071228,1.3171041011810303
5,0.8727928400039673,0.8506853921072823,2.0483455591952233,0.5358511220580187,0.18520419629314305,0.759514331817627,1.252869725227356
6,0.7881443500518799,0.7968942097255162,1.81354402857632,0.5347564313081554,0.15744017485496445,0.6975979208946228,1.1564573049545288
7,0.7792812585830688,0.8031377792358398,1.6615518613768199,0.5402298850574713,0.14917104062165568,0.6711743474006653,1.0821001529693604
8,0.8336442112922668,0.8233190264020648,1.603647942792267,0.5539135194307608,0.15064113708644347,0.660247802734375,1.0489169359207153
9,0.9271131753921509,0.8093985148838588,1.6305155705885255,0.5681444991789819,0.1592249683448186,0.6635695695877075,1.0650765895843506
10,0.8823200464248657,0.7882468359810966,1.7316114069332273,0.5758073344280241,0.17107542170346457,0.6797667145729065,1.1185111999511719
11,0.8020467162132263,0.7965215955461774,1.8718755045819049,0.5812807881773399,0.1808278008370538,0.7049513459205627,1.1822282075881958
12,0.8301852941513062,0.8209601129804339,1.9894557425374617,0.588943623426382,0.18850023783742217,0.7335787415504456,1.2304164171218872
13,0.7485694289207458,0.832707336970738,2.037229375110694,0.5911330049261083,0.19395045204793035,0.7485531568527222,1.2490394115447998
14,0.7655585408210754,0.8290801729474749,2.0330587388454395,0.5911330049261083,0.19830340964094487,0.7459682822227478,1.2475342750549316
15,0.8846340775489807,0.8101173128400531,1.9754911529819286,0.5845648604269293,0.20231183505118516,0.7257985472679138,1.2252099514007568
16,0.8128468990325928,0.7810758863176618,1.8483750526279228,0.5867542419266557,0.20459844522652232,0.6937068104743958,1.1728343963623047
17,0.9572456479072571,0.7709409168788365,1.7453992275860308,0.5883962780514504,0.20678136618015697,0.6720241904258728,1.126471757888794
18,0.7441371083259583,0.7713227953229632,1.692777279613348,0.5922276956759714,0.20942210926663743,0.661608099937439,1.1008844375610352
19,0.8332688212394714,0.7689295496259417,1.6813328495113278,0.5998905309250135,0.2126463819879276,0.6570895910263062,1.0953675508499146
20,0.8933873176574707,0.7600930758884975,1.7141715000170117,0.6031746031746031,0.21607996434536672,0.6595573425292969,1.1122750043869019
21,0.8903108835220337,0.7530539376395089,1.777544473547281,0.6031746031746031,0.21932002084890498,0.6676793098449707,1.1425820589065552
22,0.758255660533905,0.754793507712228,1.8679925850107366,0.6059113300492611,0.22240827337235203,0.6810636520385742,1.1825380325317383
23,0.7918615937232971,0.7580359322684151,1.9370317134550423,0.6053639846743295,0.22396416669203417,0.6913157105445862,1.2113029956817627
24,0.7256647348403931,0.7489821570260184,1.954577287759403,0.5987958401751505,0.22343050795923539,0.6884595155715942,1.2186328172683716
25,0.7543351650238037,0.7206098011561802,1.8967596107758988,0.5894909688013136,0.22014283257044906,0.6658990979194641,1.195581316947937
26,0.6764490008354187,0.6913228716169085,1.8160968168106386,0.5894909688013136,0.21438090852146469,0.63321453332901,1.1618303060531616
