epoch,train_loss,train_eval_loss,test_loss,train_spearman,test_spearman,train_mae,test_mae
1,1.2384185311786307,1.2610954386733448,1.8876315247570412,0.37566557319004545,0.5505166102301002,0.9260266423225403,1.1881731748580933
2,1.1313357297393392,1.0643409167643774,1.4122146269014317,0.4761348816334284,0.5478582473314608,0.7250111699104309,0.7862855792045593
3,0.8878358712164455,0.7457969002101732,1.0229650700360085,0.6288466974300833,0.7285047757194189,0.6559744477272034,0.7662512063980103
4,0.6778542844348129,0.5764367189694408,0.7573479531680212,0.7644044685530245,0.8031285344729923,0.5265486836433411,0.5801308751106262
5,0.5890857865977845,0.4495210960158536,0.6903517143705177,0.7884325137360133,0.8064602527946613,0.4901205599308014,0.5644479990005493
6,0.48114229468597614,0.5381370429609931,0.8913732705040716,0.7979851811773063,0.8233297016202762,0.5403242707252502,0.6300826072692871
7,0.47053279298603734,0.44334096111182786,0.7539295194540501,0.8015119107903613,0.8181648123804107,0.46689388155937195,0.5471832752227783
8,0.41572005453715755,0.36656209377939486,0.7268997529813809,0.814875619233931,0.8251187276842009,0.43522027134895325,0.5579442381858826
9,0.38095285922388566,0.4124758334462858,0.6488220730289523,0.8315997127333431,0.8306590531945268,0.4467769265174866,0.5284281373023987
10,0.41418899616668853,0.33911344725950104,0.66617070509751,0.832332271148827,0.8291348132509317,0.41516005992889404,0.527028501033783
11,0.33611477123056366,0.26481352362744387,0.5599497709252704,0.8514660145446223,0.8499301319230015,0.3830372095108032,0.5054372549057007
12,0.29388442547823673,0.24075180136639138,0.5680372931287614,0.8715484500518511,0.8470931135590931,0.34990453720092773,0.4843437969684601
13,0.2797474335467935,0.22876140887920673,0.5850392958853441,0.8723348513796757,0.8473089392921509,0.35380101203918457,0.49854233860969543
14,0.24162982138104264,0.20051868974564466,0.5155891871464786,0.8867049935177679,0.8531509770089887,0.32015740871429443,0.45390385389328003
15,0.22703302496651742,0.20278384837019803,0.6014270427105383,0.8854006525801519,0.8417297014923816,0.31987661123275757,0.4839298129081726
16,0.25022180685430867,0.2067497122646574,0.5438993116216378,0.8774562385609297,0.8508584057208074,0.3303915560245514,0.4643741250038147
17,0.22157190901579266,0.18666345698378956,0.5404080831483539,0.8968146595529202,0.8539838041755281,0.3053162395954132,0.46271029114723206
18,0.1958225512185623,0.16365897153133532,0.4991242921707337,0.9031655634508235,0.853348484537829,0.2878599166870117,0.44594934582710266
19,0.21198961936111832,0.17996364947545487,0.5737664064795593,0.9009809644300101,0.8560661620072725,0.3006919026374817,0.468141108751297
20,0.20523396192187052,0.17424635823355072,0.4776831946886937,0.9008565133559271,0.8580492378135424,0.3030576705932617,0.4480021297931671
21,0.21344598854664576,0.15486174841788303,0.5065016124631685,0.9015649996287582,0.8554302352250415,0.28871965408325195,0.44533851742744446
